Game ID,Bet Name,Game Name,Market Name,line_betmgm,Odds_betmgm,line_pinnacle,Odds_pinnacle,EV_betmgm
38907-41645-24-38,Charlotte,Indiana vs Charlotte,1st Half Moneyline,,1150.0,,967.0,14.853814065457499
77025-21097-24-38,Ohio,Kentucky vs Ohio,Moneyline,,850.0,,729.0,12.348920267745243
43291-12171-24-38,Arkansas State,Iowa State vs Arkansas State,Moneyline,,1000.0,,869.0,11.293227301240435
28442-36546-24-38,Vanderbilt,Missouri vs Vanderbilt,Moneyline,,900.0,,796.0,9.418767507002784
20026-35734-24-38,UCLA,LSU vs UCLA,1st Half Moneyline,,700.0,,621.0,8.78137662832124
18137-21173-24-38,Bowling Green,Texas A&M vs Bowling Green,Moneyline,,1100.0,,1002.0,6.757766627522159
38907-41645-24-38,Charlotte,Indiana vs Charlotte,Moneyline,,2000.0,,1835.0,6.399148806809535
35807-41184-24-38,North Carolina State,Clemson vs North Carolina State,Moneyline,,725.0,,662.0,6.144820132777525
32264-35921-24-38,Miami Ohio,Notre Dame vs Miami Ohio,1st Half Moneyline,,1050.0,,969.0,5.467818558667645
16087-75184-24-38,South Florida,South Florida vs Miami Florida,1st Half Moneyline,,375.0,,360.0,1.2361466325660757
36827-18077-24-38,Akron,,Moneyline,,,,1427.0,-1.0
43291-12171-24-38,Under 52,,Total Points,,,52.0,-137.0,-1.0
